event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
GTM6887,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Guatemala)","Seed Movement",6,,,0,60,,320,"Central America",Guatemala,Quiche,Ixcan,,"Playa Grande Ixcan",15.9856,-90.7776,1,"Prensa Comunitaria",National,"On 14 July 2023, in Playa Grande Ixcan, Quiche, people staged a protest in support of the Seed Political Party and against the investigation that its being carried out by the Special Prosecutor against Impunity (FECI). A simultaneous protest was held in San Pedro Sacatepequez.",0,"crowd size=no report",1689610491
GTM6888,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Guatemala)","Seed Movement",6,,,0,60,,320,"Central America",Guatemala,Guatemala,"San Pedro Sacatepequez",,"San Pedro Sacatepequez",14.6845,-90.641,1,"Prensa Comunitaria",National,"On 14 July 2023, in San Pedro Sacatepequez, Guatemala, a group of young people staged a protest in support of the Seed Political Party and against the investigation that its being carried out by the Special Prosecutor against Impunity (FECI). A simultaneous protest was held in Playa Grande Ixcan.",0,"crowd size=no report",1689610491
ARG13677,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)",,6,,,0,60,,32,"South America",Argentina,"Ciudad Autonoma de Buenos Aires","Comuna 1",,"Buenos Aires - Comuna 1",-34.6036,-58.3817,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Buenos Aires - Comuna 1 (Ciudad Autonoma de Buenos Aires), demonstrators marched for the second consecutive day to Jujuy's provincial house in the city to repudiate the provincial constitutional reform of Governor Morales and demand the release of protesters from Jujuy who were detained in mass arrests in previous days. The collective action was organized by groups that make up the Memory, Truth, and Justice Movement.",0,"crowd size=no report",1689623023
ARG13678,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)","Indigenous Group (Argentina)",6,,,0,60,,32,"South America",Argentina,Jujuy,Tumbaya,,Purmamarca,-23.7451,-65.5019,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Purmamarca (Tumbaya, Jujuy) protesters blocked Route 9 to repudiate the provincial constitutional reform promoted by Governor Morales. Indigenous communities actively participated in the action and enabled vehicular passage every two or three hours.",0,"crowd size=no report",1689623023
ARG13679,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)","Indigenous Group (Argentina)",6,,,0,60,,32,"South America",Argentina,Jujuy,Tilcara,,Tilcara,-23.5771,-65.3935,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Tilcara (Jujuy) protesters blocked Route 9 to repudiate the provincial constitutional reform promoted by Governor Morales. Indigenous communities actively participated in the action and enabled vehicular passage every two or three hours.",0,"crowd size=no report",1689623023
ARG13680,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)","Indigenous Group (Argentina)",6,,,0,60,,32,"South America",Argentina,Jujuy,Humahuaca,,Uquia,-23.3032,-65.3555,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Uquia (Humahuaca, Jujuy) protesters blocked Route 9 to repudiate the provincial constitutional reform promoted by Governor Morales. Indigenous communities actively participated in the action and enabled vehicular passage every two or three hours.",0,"crowd size=no report",1689623023
ARG13681,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)","Indigenous Group (Argentina)",6,,,0,60,,32,"South America",Argentina,Jujuy,Humahuaca,,"San Roque",-23.2544,-65.3564,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Paraje San Roque (Humahuaca, Jujuy) protesters blocked Route 9 to repudiate the provincial constitutional reform promoted by Governor Morales. Indigenous communities actively participated in the action and enabled vehicular passage every two or three hours.",0,"crowd size=no report",1689623023
ARG13682,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)","Indigenous Group (Argentina)",6,,,0,60,,32,"South America",Argentina,Jujuy,Humahuaca,,Hornaditas,-23.0867,-65.3848,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Hornaditas (Humahuaca, Jujuy) protesters blocked Route 9 to repudiate the provincial constitutional reform promoted by Governor Morales. Indigenous communities actively participated in the action and enabled vehicular passage every two or three hours.",0,"crowd size=no report",1689623023
ARG13683,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)","Indigenous Group (Argentina)",6,,,0,60,,32,"South America",Argentina,Jujuy,Humahuaca,,Iturbe,-22.9788,-65.3537,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Iturbe (Humahuaca, Jujuy) protesters blocked Route 9 to repudiate the provincial constitutional reform promoted by Governor Morales. Indigenous communities actively participated in the action and enabled vehicular passage every two or three hours.",0,"crowd size=no report",1689623023
ARG13684,"14 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Argentina)","Indigenous Group (Argentina)",6,,,0,60,,32,"South America",Argentina,Jujuy,Cochinoca,,"Abra Pampa",-22.7233,-65.6952,1,"Indymedia Argentina; La Nacion (Argentina)",National,"On 14 July 2023, in Abra Pampa (Cochinoca, Jujuy) protesters blocked Route 9 to repudiate the provincial constitutional reform promoted by Governor Morales. Indigenous communities actively participated in the action and enabled vehicular passage every two or three hours.",0,"crowd size=no report",1689623023
