globaleventid,day,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_adm2code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_adm2code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl,eped_uuid,eped_source_url,eped_sec_classification,eped_source,eped_intake_dt,eped_retention_m,eped_purge_dt,eped_customer,eped_customer_request,eped_customer_request_location
1094968013,20220411,202204,2022,2022.2767,,,,,,,,,,,RUS,RUSSIAN FEDERATION,RUS,,,,,,,,1,61,61,6,2,6.4,8,1,8,0.0,0,,,,,,,,1,Spain,SP,SP,,40.0,-4.0,SP,1,Spain,SP,SP,,40.0,-4.0,SP,2023-04-11 14:00:00,https://www.easternherald.com/2023/04/11/spain-has-increased-its-purchases-of-russian-gas-by-127/,a7a270c3-c181-4095-9658-b651c003d561,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968016,20220411,202204,2022,2022.2767,BUS,BANK,,,,,,BUS,,,USA,UNITED STATES,USA,,,,,,,,0,43,43,4,1,2.8,4,1,4,-0.68027210884354,3,"Franklin County, Pennsylvania, United States",US,USPA,PA055,40.2504,-77.6664,1213670,3,"Franklin County, Pennsylvania, United States",US,USPA,,40.2504,-77.6664,1213670,3,"Franklin County, Pennsylvania, United States",US,USPA,,40.2504,-77.6664,1213670,2023-04-11 14:00:00,https://www.inquirer.com/politics/clout/sheriff-rochelle-bilal-party-public-money-chickies-petes-20230203.html,334f209b-f9b0-415b-a0d2-c409e032b1b0,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968018,20220411,202204,2022,2022.2767,CHN,CHINA,CHN,,,,,,,,CVL,CITIZEN,,,,,,CVL,,,0,130,130,13,3,-4.4,2,1,2,-11.0105580693816,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,2023-04-11 14:00:00,https://www.ucanews.com/news/cambodia-deports-19-japanese-for-running-online-scams/100950,1b8bc411-242b-41dc-a8ee-2fb09ed6feec,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968019,20220411,202204,2022,2022.2767,DEU,GERMANY,DEU,,,,,,,,,,,,,,,,,,1,20,20,2,1,3.0,2,1,2,-1.00671140939598,4,"Cranbrook, British Columbia, Canada",CA,CA02,12549,49.5167,-115.767,-563126,0,,,,,,,,4,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,2023-04-11 14:00:00,https://www.cranbrooktownsman.com/news/podcast-infill-homes-a-passivhaus-duplex/,95ee2815-67e5-44c4-8bc6-b4d0406d3370,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968024,20220411,202204,2022,2022.2767,IDN,INDONESIA,IDN,,,,,,,,PAK,PAKISTAN,PAK,,,,,,,,0,130,130,13,3,-4.4,8,1,8,-11.0105580693816,1,Indonesia,ID,ID,,-5.0,120.0,ID,1,Pakistan,PK,PK,,30.0,70.0,PK,1,China,CH,CH,,35.0,105.0,CH,2023-04-11 14:00:00,https://www.ucanews.com/news/cambodia-deports-19-japanese-for-running-online-scams/100950,8a64639f-dbd5-43fc-bf8a-17d9f79713d7,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968026,20220411,202204,2022,2022.2767,IND,DELHI,IND,,,,,,,,INDGOVAGR,SHARAD PAWAR,IND,,,,,GOV,AGR,,0,43,43,4,1,2.8,6,1,6,2.09205020920502,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,2023-04-11 14:00:00,https://www.outlookindia.com/national/nitish-kumar-leaves-for-delhi-may-meet-non-bjp-leaders-news-277668,aa7e4e3e-a601-476a-b9e4-f84d3d7e672e,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968027,20220411,202204,2022,2022.2767,INDGOVAGR,SHARAD PAWAR,IND,,,,,GOV,AGR,,,,,,,,,,,,0,43,43,4,1,2.8,4,1,4,2.09205020920502,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,2023-04-11 14:00:00,https://www.outlookindia.com/national/nitish-kumar-leaves-for-delhi-may-meet-non-bjp-leaders-news-277668,0a51e571-820d-406b-984e-6082ba0e6515,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968028,20220411,202204,2022,2022.2767,INDGOVAGR,SHARAD PAWAR,IND,,,,,GOV,AGR,,IND,DELHI,IND,,,,,,,,0,42,42,4,1,1.9,6,1,6,2.09205020920502,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,2023-04-11 14:00:00,https://www.outlookindia.com/national/nitish-kumar-leaves-for-delhi-may-meet-non-bjp-leaders-news-277668,5cb26b74-9995-455f-97af-7e43ee3b1a6c,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968032,20220411,202204,2022,2022.2767,JEWREL,JEWISH,,,,JEW,,,,,REL,WORSHIPER,,,,,,,,,0,42,42,4,1,1.9,1,1,1,-1.48849797023004,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,2023-04-11 14:00:00,https://www.jpost.com/opinion/article-738976,4d5dee90-d7b9-488c-9de0-403ec55722af,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094968036,20220411,202204,2022,2022.2767,PAK,PAKISTAN,PAK,,,,,,,,CVL,CITIZEN,,,,,,CVL,,,0,130,130,13,3,-4.4,2,1,2,-11.0105580693816,1,Pakistan,PK,PK,,30.0,70.0,PK,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,2023-04-11 14:00:00,https://www.ucanews.com/news/cambodia-deports-19-japanese-for-running-online-scams/100950,e4f6f4a6-f641-4cf8-a232-3aca9348a3b8,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
